org_name,org_website,opportunity_name,opportunity_type,location,application_open_date,deadline,application_url,info_page_url,what_it_supports,who_qualifies,entry_fee,award_amount,mediums_supported,source_link,extraction_date,link_status,notes
Mother's Milk,https://www.mothersmilkart.com/,Mother's Milk International Artist Residency,Residencies,Not specified,Not specified,2026-02-10 00:00:00,https://artist.callforentry.org/festivals_unique_info.php?ID=16652,https://www.mothersmilkart.com/Apply.html,interdisciplinary residency,"- Age 21+ and not currently in an undergraduate program
- Must reside on-site for the residency
- International applicants must show English proficiency and obtain visas",Not specified,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,"Apply via CaFE; current deadline Feb 10, 2026 for May-Oct 2026 residencies."
MacDowell,https://www.macdowell.org/apply/apply-for-fellowship,MacDowell Fellowship,Fellowships,"Peterborough, New Hampshire, USA",2026-01-15 00:00:00,2026-02-10 00:00:00,https://macdowell.slideroom.com/,https://www.macdowell.org/apply/apply-for-fellowship,artist residencies across disciplines,"- Artists in seven disciplines
- Selection based on artistic excellence",Free,Need-based stipends and travel grants available (amount not specified),Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,No residency fees; stipend/travel support available.
Banff Centre for Arts and Creativity,https://www.banffcentre.ca/programs/professional-training-programs/properties-technician-program-2026,Properties Technician Program 2026,Residencies,"Banff, Alberta, Canada",Not specified,2026-02-11 00:00:00,https://www.banffcentre.ca/program/apply/18586,https://www.banffcentre.ca/programs/professional-training-programs/properties-technician-program-2026,technical training in theatrical properties/props,"- Age 18+
- Domestic or international applicants
- Relevant experience/interest in props and theatre tech",$65 (or $35 Indigenous),Not specified,Performance,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,Apply via Banff Centre online form and SlideRoom; application fee required.
Banff Centre for Arts and Creativity,https://www.banffcentre.ca/programs/professional-training-programs/wardrobe-technician-program-2026,Wardrobe Technician Program 2026,Residencies,"Banff, Alberta, Canada",Not specified,2026-02-11 00:00:00,https://www.banffcentre.ca/program/apply/18583,https://www.banffcentre.ca/programs/professional-training-programs/wardrobe-technician-program-2026,technical training in wardrobe/costume,"- Age 18+
- Domestic or international applicants
- Experience/interest in wardrobe/costume for performance",$65 (or $35 Indigenous),Not specified,Performance; Fashion,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,Apply via Banff Centre online form and SlideRoom; application fee required.
National Endowment for the Arts,https://www.arts.gov/grants/grants-for-arts-projects,Grants for Arts Projects (GAP),Grants,United States,"Early Dec 2025 (Part 1 grants.gov); Feb 18, 2026 (Part 2 portal)","Feb 12, 2026 (Part 1) / Feb 25, 2026 (Part 2); July 9, 2026 / July 21, 2026 (July cycle)",https://www.grants.gov/search-results-detail/360985,https://www.arts.gov/grants/grants-for-arts-projects,project-based funding for arts organizations,"- US nonprofit 501(c)(3), state/local government, or federally recognized tribal organizations
- At least 5 years of arts programming and $20k+ operating budget
- Not for individuals or for-profit entities",Free,"$10,000-$100,000 (some categories $30,000-$150,000)",Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,Two annual cycles; deadlines and Part 1/Part 2 dates listed on page.
Washington State Arts Commission (ArtsWA),https://www.arts.wa.gov/creative-start-grant/,Creative Start Project Grant (FY27),Grants,"Washington State, USA",2026-01-05 00:00:00,"Feb 12, 2026 (5:00 PM)",https://artswagto.submittable.com/submit/9e853c6c-cc0e-4774-8255-86c2782e08b1/aie-creative-start-project-grant-fy27,https://www.arts.wa.gov/creative-start-grant/,arts-integrated learning projects for preschool-3rd grade,"- Washington State organizations/partners (see guidelines)
- Arts-in-education projects for early learning",Free,"$6,000 or $10,000",Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,"Submittable link opens Jan 5, 2026; application closes Feb 12, 2026 at 5:00 PM."
Porcupine Mountains Artist-in-Residence Program,https://porkies.org/projects-programs/artist-in-residence/,Porcupine Mountains Artist-in-Residence Program,Residencies,"Porcupine Mountains Wilderness State Park, Michigan, USA",Not specified,2026-02-14 00:00:00,https://forms.gle/7swZNNr327FEJya97,https://porkies.org/projects-programs/artist-in-residence/,residency in a wilderness environment,"- Artists and artisans (visual, performing, writing, composing)
- Must provide a public presentation",Free,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,"Application open through Feb 14, 2026."
Eureka Springs School of the Arts (ESSA),https://essa-art.org/instructors/residency-program/,2026 Mentored Woodworking Residency with Doug Stowe,Residencies,"Eureka Springs, Arkansas, USA",Not specified,Not specified,https://essa-art.org/wp-content/uploads/2025/09/2026-Mentored-Wood-Residency-Application-.pdf,https://essa-art.org/instructors/residency-program/,mentored woodworking residency,- Practicing woodworkers/craftspeople seeking focused time and mentorship,"$1,400 residency fee",Not specified,Sculpture / Three-dimensional art,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,"Program dates June 7-June 20, 2026; deadline not listed in HTML."
Watershed Center for the Ceramic Arts,https://www.watershedceramics.org/about/employment/seasonal-employment/,Seasonal Positions (2026),Employment,"Midcoast Maine, USA",Not specified,2026-02-15 00:00:00,https://www.watershedceramics.org/about/employment/seasonal-employment/,https://www.watershedceramics.org/about/employment/seasonal-employment/,seasonal employment at ceramics center,- Applicants for seasonal positions (see job descriptions on page),Free,Not specified,Sculpture / Three-dimensional art,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,Apply by Feb 10 for best consideration; application link not found in saved HTML.
Hotel Canvas / Canvas Group (hosted on Picter),https://site.picter.com/canvas-nyc-award-2026,NYC Photography Call 2026,Competitions,Global,2025-11-28 00:00:00,2026-02-16 00:00:00,https://app.picter.com/contests/bc8990e2-e5d5-40e1-9250-c95e3e4f41ba/start?contactAgreed=true&utm_source=picter,https://site.picter.com/canvas-nyc-award-2026,"theme: ""Unfiltered"" photography","- Emerging photographers, students, and early-career artists
- Submit 5-10 original photographs",Free,"$5,000 (1st), $1,000 (2nd), $500 (3rd)",Photography,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,"Theme ""Unfiltered""; host listed as Hotel Canvas (Canvas Group) in page data."
Lower East Side Printshop,https://www.printshop.org/summer-keyholder-residency,Summer Keyholder Residency,Residencies,"New York City, New York, USA",Not specified,2026-02-15 00:00:00,https://forms.gle/WJ35tDRXoCPbaG88A,https://www.printshop.org/summer-keyholder-residency,printmaking residency with studio access,"- NYC metro residents
- Not enrolled in a degree program during residency
- Emerging artists; some printmaking familiarity",Free,$500 stipend,Graphic Design / Industrial Design,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,"Residency period Jun 1-Aug 31, 2026."
Long Meadow Art Residency,https://longmeadowartresidency.com/residency,Long Meadow Art Residency,Residencies,Not specified,Not specified,Not specified,https://longmeadowartresidency.com/residency,https://longmeadowartresidency.com/residency,artist residency,- Details not available in saved HTML (JS-rendered),Not specified,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,unverified,Page content appears JS-rendered; details not available in saved HTML.
ARTS Southeast,https://artssoutheast.org/onview-residency-app,ON::View Artist Residency Program,Residencies,"Savannah, Georgia, USA",Not specified,2026-02-16 00:00:00,https://artssoutheast.org/onview-residency-app,https://artssoutheast.org/onview-residency-app,public-facing studio residency,"- Artists working in any medium
- Must commit to public hours and community engagement
- Out-of-town artists cover travel costs",$50 application fee,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,"Deadline to apply for June-Sept 2026 is Feb 16, 2026; payment link not captured in saved HTML."
Eureka Springs School of the Arts (ESSA),https://essa-art.org/instructors/residency-program/,2026 Spring/Summer Ceramics Artist Residency Program,Residencies,"Eureka Springs, Arkansas, USA",Not specified,Not specified,https://essa-art.org/wp-content/uploads/2025/09/2026-Spring.Summer-Ceramics-Residency-Application.pdf,https://essa-art.org/instructors/residency-program/,ceramics residency,- Ceramic artists (details in application PDF),Not specified,Not specified,Sculpture / Three-dimensional art,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-21 00:00:00,verified,"Program dates May 30-July 18, 2026; deadline not listed in HTML."
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
